timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
530388646.56,64.47,1.2,62.43,18.72,0,0,2357.16,1052.48,2361.36,1052.48,
530388636.48,15.56,0.01,15.55,0.12,0,0,2403.03,399.44,2418,399.44,
530388626.46,25.97,0.02,25.33,0.27,0,0,1829.55,1359.41,1790.74,559.41,
530388616.43,33.74,0.09,34.94,2.34,0,0,1094.02,878.98,1060.74,478.98,
530388606.41,11.64,0.01,9.94,0.07,0,0,467.41,295.83,462.78,195.83,
530388596.38,15.12,0.04,15.69,0.31,0,0,406.31,175.15,401.59,125.15,
530388586.35,27.98,0.06,25.9,0.76,0,0,738.53,292.97,734.56,292.97,
530388576.29,14.38,0.02,12.68,0.21,0,0,298.46,164.16,298.37,164.16,
530388566.22,28.66,0.02,28.98,0.16,0,0,1375.54,520.89,1371.28,520.89,
530388556.12,59.05,0.17,61.78,3.86,0,0,1193.7,893.87,1162.6,893.85,
530388546.03,40.62,0.24,40.34,5.15,0,0,834.23,344.67,825.37,344.67,
530388535.91,41.22,0,40.63,0,0,0,2842.2,866.27,2845,866.27,
530388525.80,70.51,0.01,70.25,0.27,0,0,2347.94,1479.12,2348.1,1479.12,
530388515.77,16.64,0,16.64,0.03,0,0,2036.35,563.28,1931.06,563.28,
530388505.70,24.13,0.02,25.52,1.4,0,0,2065.57,721.63,2058.68,721.66,
530388495.63,17.21,0,16.03,0.01,0,0,2327.09,798.9,2329.27,798.9,
530388485.55,29.61,0.03,28,0.08,0,0,2320.2,797.92,2323.18,797.92,
530388475.48,210.88,10.15,203.28,163.55,0,0,1416.15,1078.66,1417.58,1078.66,
530388465.40,26.75,0.18,24.74,2.35,0,0,2896.46,583.2,2889.71,583.2,
530388455.33,22.1,0,21.96,0.01,0,0,1441.98,1181.36,1453.87,381.37,
530388445.24,24.96,0.09,25.13,1.01,0,0,1524.69,477.19,1458.98,477.19,
530388435.22,25.35,0.04,24.87,0.6,0,0,843.91,826.17,838.84,426.17,
530388425.19,15.05,0,15.53,0.05,0,0,497.17,307.89,494,157.89,
530388415.17,11.37,0.01,10.6,0.13,0,0,430.65,150,427.28,150,
